epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.7824,0.30015,0.93493,1,0.1757,0.0671191,0.00033213,0.00033213
2,42.6275,0.21351,0.93493,1,0.15962,0.0341158,0.000662169,0.000662169
3,56.9852,0.19614,0.94532,1,0.14113,0.00110925,0.000988909,0.000988909
4,70.9085,0.16914,0.92951,1,0.19187,0.00098515,0.00098515,0.00098515
5,84.9541,0.15751,0.95662,1,0.13214,0.0009802,0.0009802,0.0009802
6,99.218,0.1358,0.96475,1,0.10585,0.00097525,0.00097525,0.00097525
7,114.665,0.12413,0.95978,1,0.12001,0.0009703,0.0009703,0.0009703
8,129.286,0.11735,0.96566,1,0.11751,0.00096535,0.00096535,0.00096535
9,143.894,0.11342,0.96159,1,0.10453,0.0009604,0.0009604,0.0009604
10,158.466,0.1031,0.96249,1,0.10487,0.00095545,0.00095545,0.00095545
11,175.396,0.09821,0.97244,1,0.086,0.0009505,0.0009505,0.0009505
12,192.734,0.09159,0.96385,1,0.10857,0.00094555,0.00094555,0.00094555
13,208.344,0.08506,0.97153,1,0.09753,0.0009406,0.0009406,0.0009406
14,223.933,0.0938,0.96837,1,0.09312,0.00093565,0.00093565,0.00093565
15,239.629,0.09929,0.96972,1,0.08636,0.0009307,0.0009307,0.0009307
16,255.376,0.08516,0.97108,1,0.08386,0.00092575,0.00092575,0.00092575
17,271.924,0.07802,0.97063,1,0.08561,0.0009208,0.0009208,0.0009208
18,292.686,0.07152,0.96972,1,0.09066,0.00091585,0.00091585,0.00091585
19,309.863,0.07997,0.97198,1,0.08708,0.0009109,0.0009109,0.0009109
20,327.97,0.08435,0.9634,1,0.11622,0.00090595,0.00090595,0.00090595
21,345.365,0.07128,0.97063,1,0.09204,0.000901,0.000901,0.000901
22,361.544,0.06547,0.97198,1,0.09001,0.00089605,0.00089605,0.00089605
23,380.066,0.0603,0.97379,1,0.08339,0.0008911,0.0008911,0.0008911
24,400.311,0.06525,0.97424,1,0.08737,0.00088615,0.00088615,0.00088615
25,418.762,0.06777,0.97198,1,0.09987,0.0008812,0.0008812,0.0008812
26,436.416,0.05404,0.97695,1,0.07955,0.00087625,0.00087625,0.00087625
27,454.439,0.06996,0.97334,1,0.09705,0.0008713,0.0008713,0.0008713
28,472.683,0.06536,0.97741,1,0.09115,0.00086635,0.00086635,0.00086635
29,490.427,0.06085,0.97469,1,0.09014,0.0008614,0.0008614,0.0008614
30,508.445,0.05697,0.97921,1,0.08207,0.00085645,0.00085645,0.00085645
31,525.337,0.0569,0.97786,1,0.08276,0.0008515,0.0008515,0.0008515
32,541.409,0.05974,0.9756,1,0.08552,0.00084655,0.00084655,0.00084655
33,557.601,0.06721,0.9756,1,0.07746,0.0008416,0.0008416,0.0008416
34,575.651,0.05415,0.9756,1,0.08622,0.00083665,0.00083665,0.00083665
35,592.162,0.04706,0.97921,1,0.07229,0.0008317,0.0008317,0.0008317
36,608.152,0.05602,0.97831,1,0.07921,0.00082675,0.00082675,0.00082675
37,624.892,0.04083,0.97831,1,0.09111,0.0008218,0.0008218,0.0008218
38,645.164,0.04918,0.97695,1,0.07456,0.00081685,0.00081685,0.00081685
39,661.486,0.05212,0.97695,1,0.07085,0.0008119,0.0008119,0.0008119
40,678.013,0.04888,0.97921,1,0.07327,0.00080695,0.00080695,0.00080695
41,694.021,0.04947,0.98057,1,0.06786,0.000802,0.000802,0.000802
42,710.203,0.0493,0.98012,1,0.07588,0.00079705,0.00079705,0.00079705
43,726.737,0.03569,0.97921,1,0.08167,0.0007921,0.0007921,0.0007921
44,742.334,0.0502,0.98102,1,0.07493,0.00078715,0.00078715,0.00078715
45,757.935,0.04297,0.98418,1,0.06882,0.0007822,0.0007822,0.0007822
46,773.565,0.0426,0.98147,1,0.06614,0.00077725,0.00077725,0.00077725
47,789.404,0.04249,0.98057,1,0.06608,0.0007723,0.0007723,0.0007723
48,805.546,0.04863,0.98057,1,0.07094,0.00076735,0.00076735,0.00076735
49,820.823,0.05006,0.97967,1,0.07355,0.0007624,0.0007624,0.0007624
50,836.571,0.03986,0.97967,1,0.07742,0.00075745,0.00075745,0.00075745
51,852.871,0.03924,0.97967,1,0.07462,0.0007525,0.0007525,0.0007525
52,868.546,0.03303,0.97831,1,0.07109,0.00074755,0.00074755,0.00074755
53,884.241,0.03618,0.98283,1,0.06457,0.0007426,0.0007426,0.0007426
54,899.826,0.03934,0.98193,1,0.06599,0.00073765,0.00073765,0.00073765
55,915.369,0.03916,0.98238,1,0.06582,0.0007327,0.0007327,0.0007327
56,931.204,0.0363,0.98418,1,0.05979,0.00072775,0.00072775,0.00072775
57,948.594,0.03765,0.98102,1,0.06623,0.0007228,0.0007228,0.0007228
58,964.696,0.03209,0.98147,1,0.06025,0.00071785,0.00071785,0.00071785
59,981.579,0.03982,0.98193,1,0.06605,0.0007129,0.0007129,0.0007129
60,997.372,0.04551,0.98328,1,0.06985,0.00070795,0.00070795,0.00070795
61,1013.64,0.04879,0.98238,1,0.0742,0.000703,0.000703,0.000703
62,1030.6,0.05215,0.97921,1,0.07647,0.00069805,0.00069805,0.00069805
63,1046.6,0.03997,0.98283,1,0.0666,0.0006931,0.0006931,0.0006931
64,1062.62,0.03129,0.98328,1,0.06873,0.00068815,0.00068815,0.00068815
65,1078.65,0.02942,0.98373,1,0.06615,0.0006832,0.0006832,0.0006832
